player_id,is_werewolf,mean_deception_similarity,max_deception_similarity,num_sentences
game1_Player3,True,0.6087616,0.6684119,6
game1_Player4,False,0.6885774,0.7385479,3
game1_Player5,False,0.61995256,0.72354764,3
game1_Player2,False,0.59430915,0.68884027,6
game1_Player1,False,0.5910831,0.6465254,6
game2_Player2,False,0.65904117,0.67579824,3
game2_Player3,True,0.57152843,0.64500934,6
game2_Player1,False,0.5789763,0.62382424,3
game2_Player4,False,0.5811461,0.6482256,6
game2_Player5,False,0.6061043,0.7160301,6
game3_Player5,False,0.60713404,0.6696876,3
game3_Player2,True,0.6154027,0.69676995,6
game3_Player1,False,0.6705702,0.81098133,6
game3_Player3,False,0.5945007,0.67664015,3
game3_Player4,False,0.5818267,0.69327193,6
game4_Player2,False,0.61207914,0.66223806,3
game4_Player5,True,0.7364872,0.8175519,3
game4_Player3,False,0.5630641,0.5805808,3
game4_Player1,False,0.57029796,0.6005017,3
game4_Player4,False,0.6543152,0.7722124,3
game5_Player1,False,0.63318425,0.69461876,3
game5_Player2,True,0.57963234,0.6087258,3
game5_Player3,False,0.6503249,0.6871342,3
game5_Player5,False,0.60583895,0.6637027,3
game5_Player4,False,0.5675205,0.5679004,2
game6_Player5,False,0.6284197,0.697413,3
game6_Player2,False,0.6743658,0.74544466,3
game6_Player4,False,0.6291404,0.67614686,6
game6_Player1,False,0.5694111,0.688952,6
game6_Player3,True,0.60024095,0.6762338,6
game7_Player3,False,0.59832746,0.6461378,3
game7_Player5,False,0.62236255,0.660599,3
game7_Player4,False,0.63933486,0.66889745,6
game7_Player2,True,0.66953397,0.7592884,6
game7_Player1,False,0.59801686,0.7494175,6
game8_Player3,False,0.6860244,0.72600013,3
game8_Player1,False,0.6666352,0.75609905,3
game8_Player2,False,0.67148155,0.7277901,6
game8_Player4,False,0.61688197,0.70913196,6
game8_Player5,True,0.6382577,0.7295908,6
game9_Player3,False,0.6214841,0.6721038,3
game9_Player4,False,0.63796824,0.6877289,3
game9_Player5,True,0.6435477,0.73905045,6
game9_Player1,False,0.5977623,0.6719362,6
game9_Player2,False,0.6191786,0.70750666,6
game10_Player4,False,0.61043906,0.66292226,3
game10_Player1,True,0.6054641,0.66659707,6
game10_Player3,False,0.5791924,0.5903038,3
game10_Player2,False,0.5932622,0.64443755,6
game10_Player5,False,0.60012835,0.6401549,5
game12_Player5,False,0.65731645,0.6723641,3
game12_Player4,False,0.6345852,0.6766066,3
game12_Player1,False,0.59484625,0.63396794,6
game12_Player2,True,0.60886437,0.6710522,6
game12_Player3,False,0.64423496,0.7370778,6
game13_Player2,False,0.6188871,0.6445399,3
game13_Player1,False,0.5585596,0.5683068,3
game13_Player5,False,0.59280246,0.692703,6
game13_Player3,True,0.66466016,0.76292604,6
game13_Player4,False,0.59571666,0.68895775,6
game14_Player3,False,0.57358,0.6557214,3
game14_Player2,False,0.5945881,0.6510579,6
game14_Player4,False,0.5982633,0.66485876,6
game14_Player1,False,0.633625,0.69651407,3
game14_Player5,True,0.5892082,0.66836935,6
game15_Player5,True,0.6122741,0.70889163,6
game15_Player4,False,0.6192271,0.72289014,3
game15_Player2,False,0.5636849,0.6173273,6
game15_Player3,False,0.6067069,0.7366224,6
game15_Player1,False,0.69753116,0.7000119,3
game16_Player1,False,0.597816,0.6568432,6
game16_Player2,True,0.6452746,0.7504472,6
game16_Player5,False,0.60960764,0.6738199,3
game16_Player4,False,0.6705815,0.7320974,3
game16_Player3,False,0.7294785,0.7847525,5
game17_Player2,False,0.6650727,0.68500763,3
game17_Player3,False,0.66485596,0.693513,6
game17_Player1,True,0.61867416,0.69453216,6
game17_Player5,False,0.5561159,0.60923564,6
game17_Player4,False,0.5282344,0.5787656,3
game18_Player2,False,0.6108747,0.6532249,3
game18_Player1,False,0.6054087,0.6632344,3
game18_Player3,True,0.5782151,0.6419357,6
game18_Player5,False,0.6079795,0.7332796,6
game18_Player4,False,0.65564996,0.72286874,6
game19_Player2,False,0.6350672,0.6750876,3
game19_Player4,True,0.6643997,0.7087858,3
game19_Player5,False,0.56755596,0.59783185,3
game19_Player3,False,0.581469,0.6382847,3
game19_Player1,False,0.6488169,0.6978854,3
game20_Player4,False,0.61593413,0.67236406,3
game20_Player3,True,0.65181905,0.73353595,6
game20_Player2,False,0.5840978,0.60392845,3
game20_Player5,False,0.58888036,0.6437926,6
game20_Player1,False,0.5599095,0.613427,6
