game_id,threshold,true_werewolves,predicted_werewolves,correct,total,accuracy
1,0.9,['Player3'],"['Player1', 'Player5', 'Player3', 'Player4']",1,1,1.0
2,0.9,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
3,0.9,['Player2'],"['Player2', 'Player5']",1,1,1.0
4,0.9,['Player5'],"['Player4', 'Player2', 'Player5']",1,1,1.0
5,0.9,['Player2'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
6,0.9,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
7,0.9,['Player2'],"['Player4', 'Player2', 'Player5']",1,1,1.0
8,0.9,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
9,0.9,['Player5'],"['Player4', 'Player3', 'Player5']",1,1,1.0
10,0.9,['Player1'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
12,0.9,['Player2'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
13,0.9,['Player3'],"['Player4', 'Player3']",1,1,1.0
14,0.9,['Player5'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
15,0.9,['Player5'],"['Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
16,0.9,['Player2'],"['Player2', 'Player3']",1,1,1.0
17,0.9,['Player1'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
18,0.9,['Player3'],"['Player4', 'Player3']",1,1,1.0
19,0.9,['Player4'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
20,0.9,['Player3'],"['Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
1,0.85,['Player3'],"['Player1', 'Player3', 'Player5']",1,1,1.0
2,0.85,['Player3'],"['Player2', 'Player3']",1,1,1.0
3,0.85,['Player2'],"['Player1', 'Player2', 'Player3', 'Player5']",1,1,1.0
4,0.85,['Player5'],"['Player4', 'Player2', 'Player5']",1,1,1.0
5,0.85,['Player2'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
6,0.85,['Player3'],"['Player2', 'Player3']",1,1,1.0
7,0.85,['Player2'],"['Player2', 'Player5']",1,1,1.0
8,0.85,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
9,0.85,['Player5'],"['Player4', 'Player3', 'Player5']",1,1,1.0
10,0.85,['Player1'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
12,0.85,['Player2'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
13,0.85,['Player3'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
14,0.85,['Player5'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
15,0.85,['Player5'],"['Player3', 'Player5']",1,1,1.0
16,0.85,['Player2'],"['Player2', 'Player3']",1,1,1.0
17,0.85,['Player1'],"['Player1', 'Player3']",1,1,1.0
18,0.85,['Player3'],"['Player2', 'Player3']",1,1,1.0
19,0.85,['Player4'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
20,0.85,['Player3'],"['Player4', 'Player3']",1,1,1.0
1,0.8,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
2,0.8,['Player3'],"['Player3', 'Player5']",1,1,1.0
3,0.8,['Player2'],"['Player2', 'Player5']",1,1,1.0
4,0.8,['Player5'],"['Player4', 'Player2', 'Player5']",1,1,1.0
5,0.8,['Player2'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
6,0.8,['Player3'],"['Player2', 'Player3']",1,1,1.0
7,0.8,['Player2'],"['Player2', 'Player5']",1,1,1.0
8,0.8,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
9,0.8,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
10,0.8,['Player1'],"['Player1', 'Player4', 'Player2', 'Player3']",1,1,1.0
12,0.8,['Player2'],"['Player2', 'Player3']",1,1,1.0
13,0.8,['Player3'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
14,0.8,['Player5'],"['Player1', 'Player3', 'Player5']",1,1,1.0
15,0.8,['Player5'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
16,0.8,['Player2'],"['Player4', 'Player2']",1,1,1.0
17,0.8,['Player1'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
18,0.8,['Player3'],"['Player4', 'Player3']",1,1,1.0
19,0.8,['Player4'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
20,0.8,['Player3'],"['Player4', 'Player3']",1,1,1.0
1,0.75,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
2,0.75,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
3,0.75,['Player2'],"['Player2', 'Player5']",1,1,1.0
4,0.75,['Player5'],"['Player4', 'Player2', 'Player5']",1,1,1.0
5,0.75,['Player2'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
6,0.75,['Player3'],"['Player2', 'Player3']",1,1,1.0
7,0.75,['Player2'],"['Player4', 'Player2']",1,1,1.0
8,0.75,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
9,0.75,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
10,0.75,['Player1'],"['Player1', 'Player2', 'Player5']",1,1,1.0
12,0.75,['Player2'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
13,0.75,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
14,0.75,['Player5'],"['Player1', 'Player5']",1,1,1.0
15,0.75,['Player5'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
16,0.75,['Player2'],"['Player2', 'Player3']",1,1,1.0
17,0.75,['Player1'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
18,0.75,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
19,0.75,['Player4'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
20,0.75,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
1,0.7,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
2,0.7,['Player3'],"['Player2', 'Player3']",1,1,1.0
3,0.7,['Player2'],"['Player2', 'Player5']",1,1,1.0
4,0.7,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
5,0.7,['Player2'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
6,0.7,['Player3'],"['Player1', 'Player2', 'Player3']",1,1,1.0
7,0.7,['Player2'],"['Player4', 'Player2']",1,1,1.0
8,0.7,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
9,0.7,['Player5'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
10,0.7,['Player1'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
12,0.7,['Player2'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
13,0.7,['Player3'],"['Player1', 'Player2', 'Player3', 'Player5']",1,1,1.0
14,0.7,['Player5'],"['Player4', 'Player1', 'Player2', 'Player5']",1,1,1.0
15,0.7,['Player5'],"['Player2', 'Player4', 'Player1', 'Player3', 'Player5']",1,1,1.0
16,0.7,['Player2'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
17,0.7,['Player1'],"['Player1', 'Player3']",1,1,1.0
18,0.7,['Player3'],"['Player4', 'Player3']",1,1,1.0
19,0.7,['Player4'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
20,0.7,['Player3'],"['Player2', 'Player1', 'Player4', 'Player3', 'Player5']",1,1,1.0
